order_id,customer_id,product_id,quantity,price,order_date
2334,5,40,3,35.6,6/21/2022
6228,8,13,7,36.52,3/8/2023
7784,9,44,4,46.56,4/22/2023
6588,5,26,1,15.87,10/23/2022
5910,8,32,10,77,10/5/2022
3983,3,11,4,85.04,11/25/2022
9464,10,15,6,45.41,3/25/2023
8272,9,11,1,71.7,9/10/2022
3569,5,47,9,19.35,5/25/2023
2997,7,49,1,39.54,8/9/2022
4237,8,10,5,47.66,10/19/2022
4010,7,40,1,30.73,4/22/2023
3760,4,30,4,84.08,3/9/2023
1098,9,46,2,26.31,7/11/2022
4018,1,20,4,36.85,6/18/2022
5427,7,17,10,23.25,11/5/2022
4837,10,11,9,74.71,1/14/2023
5200,5,50,6,82.12,2/28/2023
4388,10,32,6,76.36,7/23/2022
9042,9,5,3,95.74,9/16/2022
9685,9,40,10,99.72,2/19/2023
3188,10,24,7,20.37,9/20/2022
8712,2,50,3,76.8,7/22/2022
4898,3,9,7,15.84,6/28/2022
8716,3,11,2,51.09,11/16/2022
9863,9,17,8,67.2,11/24/2022
9728,3,9,8,61.04,12/16/2022
3810,9,6,1,80.49,7/16/2022
1589,5,10,1,96.94,1/5/2023
1558,9,20,2,10.85,12/21/2022
3228,8,25,4,81.38,9/20/2022
2363,3,30,5,20.69,4/28/2023
8078,6,34,3,56.94,2/23/2023
3720,10,48,7,84.4,6/18/2022
2060,3,31,9,13.09,9/1/2022
1993,3,19,4,59.11,12/3/2022
2114,7,11,3,97.24,8/15/2022
8337,9,27,8,41.83,11/4/2022
7231,1,38,7,95.54,5/31/2023
2741,4,11,7,71.26,10/23/2022
9362,4,38,7,18.92,4/1/2023
1131,5,28,10,87.52,7/2/2022
7106,10,12,5,87.79,11/23/2022
7370,8,23,3,31.98,11/1/2022
8994,1,41,2,94.41,7/13/2022
7396,4,36,4,11.7,5/8/2023
5994,8,26,1,25.63,7/17/2022
9841,10,23,5,35.88,11/29/2022
6998,5,23,4,84.19,2/15/2023
9481,9,8,10,97.99,6/4/2022
2278,4,10,4,68.22,5/6/2023
3195,7,4,10,21.62,7/28/2022
2467,8,3,2,40.79,3/16/2023
1664,10,29,8,30.38,2/13/2023
3438,2,37,7,37.78,9/10/2022
6495,2,29,5,81.89,2/26/2023
2870,2,1,6,53.66,2/6/2023
7029,9,29,3,68.48,10/28/2022
6946,5,47,9,53.75,2/11/2023
4032,10,1,2,18.63,5/24/2023
4769,8,20,10,99.15,4/1/2023
9065,8,1,2,29.32,2/15/2023
8121,3,19,8,79.58,12/13/2022
1509,8,29,9,61.11,10/18/2022
2036,4,42,9,32.51,3/23/2023
2254,2,37,7,72.7,9/19/2022
4683,5,33,7,58.24,12/7/2022
7902,6,44,10,55.25,4/13/2023
4918,4,20,7,76.76,6/12/2022
2739,8,18,5,63.47,9/17/2022
4003,9,11,9,90.44,4/6/2023
9071,2,36,9,33.97,4/11/2023
3361,1,26,8,82.75,5/4/2023
9844,3,22,4,91.52,3/28/2023
9983,9,8,9,98.42,10/21/2022
6648,6,47,4,41.7,11/5/2022
2011,8,22,3,49.88,5/26/2023
6270,10,36,5,96.07,11/6/2022
5099,3,11,2,14.38,10/9/2022
3578,1,10,3,73.61,4/24/2023
7968,5,47,1,21.08,2/25/2023
6437,3,45,7,36.37,12/21/2022
4739,3,21,6,25.78,1/29/2023
7506,5,22,2,61.08,4/23/2023
8312,2,27,9,36.15,8/24/2022
8304,10,24,5,48.25,6/6/2022
2335,5,34,10,54.98,1/11/2023
3585,2,20,5,30.16,5/25/2023
8051,8,20,9,57.28,2/17/2023
5045,1,25,2,14.48,6/12/2022
1747,6,10,9,34.54,6/23/2022
1849,4,39,10,92.11,3/26/2023
3553,1,4,7,94.45,10/28/2022
6475,9,25,2,12.59,9/4/2022
7232,6,31,1,47.4,3/24/2023
2266,10,43,5,39.12,6/30/2022
1257,10,21,4,83.76,2/9/2023
5720,2,36,6,35.57,9/20/2022
4897,9,49,2,85.9,10/5/2022
7446,10,29,3,36.79,7/25/2022
9237,10,21,4,97.81,8/17/2022
8344,4,12,8,75.35,9/30/2022
3317,3,32,1,63.8,6/1/2023
7894,1,49,8,89.78,1/14/2023
8282,6,25,2,34.14,3/14/2023
9720,1,32,3,18.8,12/27/2022
9881,7,41,7,81.27,2/25/2023
9003,2,26,2,68.11,6/28/2022
4847,9,33,3,72.79,8/30/2022
8947,7,7,2,11.97,12/30/2022
6906,2,37,7,47.08,4/9/2023
1940,9,13,10,76.01,1/29/2023
5870,5,41,8,29.89,1/24/2023
3898,3,26,3,34.53,7/9/2022
1357,6,18,10,44.32,3/16/2023
7427,4,1,8,29.36,12/25/2022
1942,7,20,5,85.26,8/22/2022
7968,2,43,4,96.65,4/22/2023
8884,1,5,7,61.65,9/19/2022
7191,10,24,9,35.04,5/22/2023
4811,4,1,1,38.15,1/25/2023
6105,5,47,2,44.45,3/7/2023
7430,3,31,5,39.05,1/7/2023
8137,7,21,5,46.17,3/20/2023
5425,9,17,8,86.03,10/29/2022
5862,5,14,2,29.35,12/12/2022
2975,9,39,3,57.33,9/4/2022
9204,4,39,2,82.44,4/21/2023
8426,5,35,6,33.38,5/18/2023
7587,8,34,2,28.72,10/10/2022
2422,6,9,6,15.26,8/4/2022
4245,1,23,7,66.64,3/16/2023
7154,10,15,6,85.65,5/11/2023
5332,8,20,1,31.5,5/31/2023
6104,10,49,4,23.96,11/10/2022
1804,7,40,9,80.34,10/8/2022
8879,5,23,3,14.41,11/13/2022
3898,4,7,6,14.74,6/3/2022
5405,10,20,5,53.29,3/22/2023
8221,1,2,4,83.49,1/15/2023
7538,6,18,7,34.05,2/18/2023
9219,7,45,4,13.08,9/23/2022
8886,6,48,9,43.14,2/19/2023
1338,6,49,5,39.71,12/26/2022
2626,6,12,9,51.36,3/11/2023
9387,2,46,4,39.21,11/17/2022
7123,2,12,4,72.37,12/18/2022
3695,2,50,3,32.78,11/29/2022
1495,4,48,9,43.19,9/21/2022
7928,6,47,7,19.11,6/14/2022
4234,10,14,10,71.44,4/1/2023
7139,10,12,3,18,8/16/2022
3495,9,36,10,48.31,12/26/2022
7346,6,34,1,56.78,1/26/2023
3214,5,34,8,17.92,4/3/2023
5912,4,12,6,26.95,10/21/2022
6321,4,36,8,74.19,8/16/2022
2657,4,48,9,60.19,8/17/2022
5334,9,34,1,97.86,1/26/2023
